ID,department,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Project ID,Project Type,Start Date,Planned Completion Date,Actual Completion Date,Project Status,Priority,Task ID,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Delay Days,Cost Overrun %,Tasks Completed,Productivity Score,Training Effectiveness,Experience Index,Priority_Scaled,Workload Pressure
1,Technology,Bachelors,1,24,,1,1,0,77,P001,AI System,07-12-2024,08-03-2025,07-04-2025,Delayed,Medium,T052,Completed,E01,412,73513,82736,30,12.54608029,1,0.002427184,77,,2,206
2,HR,Bachelors,1,31,3,5,0,0,51,P002,Maintenance,20-12-2025,24-02-2026,28-03-2026,Delayed,Low,T004,Ongoing,E02,335,92662,101372,32,9.399753944,0,0,51,15,1,335
3,Sales & Marketing,Bachelors,1,31,1,4,0,0,47,P003,Research,18-09-2025,01-01-2026,,In Progress,Medium,T010,Completed,E03,443,111915,132257,0,18.17629451,1,0.002257336,47,4,2,221.5
4,Procurement,Bachelors,3,31,2,9,0,0,65,P004,AI System,18-07-2025,14-09-2025,19-09-2025,Delayed,High,T093,Ongoing,E04,231,117819,102958,5,-12.61341549,0,0,195,18,3,77
5,Finance,Bachelors,1,30,4,7,0,0,61,P005,Maintenance,11-03-2024,02-09-2024,15-09-2024,Delayed,High,T091,Completed,E05,221,59014,50240,13,-14.86765852,1,0.004524887,61,28,3,73.66666667
6,Procurement,Bachelors,1,36,3,2,0,0,68,P006,IT Development,15-04-2024,24-07-2024,04-08-2024,Delayed,High,T044,Pending,E06,350,56552,51525,11,-8.889163955,0,0,68,6,3,116.6666667
7,Finance,Bachelors,1,33,5,3,1,0,57,P007,Healthcare Upgrade,20-09-2025,27-01-2026,,On Hold,Medium,T048,Blocked,E07,539,107036,113476,0,6.01666729,0,0,57,15,2,269.5
8,Analytics,Bachelors,2,36,3,3,0,0,85,P008,Healthcare Upgrade,30-01-2025,18-06-2025,,On Hold,Low,T048,Ongoing,E08,531,78482,63357,0,-19.27193497,0,0,170,9,1,531
9,Technology,Masters & above,1,51,4,11,0,0,75,P009,Healthcare Upgrade,13-05-2024,29-09-2024,21-10-2024,Delayed,High,T028,Blocked,E09,192,49765,48050,22,-3.446197126,0,0,75,44,3,64
10,Technology,Bachelors,1,29,5,2,1,0,76,P010,Maintenance,17-02-2025,30-06-2025,,On Hold,High,T015,Completed,E10,143,55094,44822,0,-18.64449849,1,0.006993007,76,10,3,47.66666667
11,Sales & Marketing,Bachelors,2,40,5,12,1,0,50,P011,Healthcare Upgrade,07-06-2025,29-09-2025,,In Progress,Low,T037,Blocked,E11,370,49809,51423,0,3.240378245,0,0,100,60,1,370
12,Sales & Marketing,Masters & above,1,40,3,10,0,0,46,P012,Construction,22-03-2024,02-08-2024,10-08-2024,Delayed,Medium,T082,Ongoing,E12,574,87161,101570,8,16.53147623,0,0,46,30,2,287
13,Sales & Marketing,Masters & above,1,34,3,4,0,0,52,P013,IT Development,26-02-2025,12-07-2025,,In Progress,Medium,T064,Ongoing,E13,485,59907,48230,0,-19.49187908,0,0,52,12,2,242.5
14,Analytics,Bachelors,1,37,3,10,0,0,82,P014,Research,11-02-2025,25-03-2025,02-05-2025,Delayed,Medium,T096,Blocked,E14,490,56213,47350,38,-15.76681551,0,0,82,30,2,245
15,Operations,Bachelors,1,30,5,6,1,0,58,P015,IT Development,06-01-2025,30-04-2025,05-05-2025,Delayed,High,T065,Blocked,E15,450,101318,100100,5,-1.202155589,0,0,58,30,3,150
16,Sales & Marketing,Bachelors,1,31,4,4,1,0,47,P016,AI System,08-08-2024,08-12-2024,20-01-2025,Delayed,High,T065,Ongoing,E16,179,119902,129250,43,7.796367033,0,0,47,16,3,59.66666667
17,Operations,Bachelors,1,26,5,3,0,0,56,P017,Construction,02-05-2025,13-08-2025,,In Progress,Medium,T079,Completed,E17,336,35118,37521,0,6.842644798,1,0.00297619,56,15,2,168
18,Sales & Marketing,Bachelors,1,40,5,6,1,0,50,P018,Research,24-03-2024,13-05-2024,02-05-2024,Completed,High,T075,Completed,E18,173,114784,97853,-11,-14.75031363,1,0.005780347,50,30,3,57.66666667
19,Procurement,Bachelors,1,49,3,7,1,0,64,P019,Healthcare Upgrade,04-12-2025,12-04-2026,,In Progress,Medium,T041,Completed,E19,200,67331,55934,0,-16.9268242,1,0.005,64,21,2,100
20,Procurement,Bachelors,1,27,2,5,0,0,65,P020,Maintenance,20-02-2024,02-07-2024,21-07-2024,Delayed,Medium,T009,Completed,E20,85,35094,30934,19,-11.85387816,1,0.011764706,65,10,2,42.5
21,Sales & Marketing,Masters & above,1,37,5,3,0,0,47,P021,Construction,23-08-2025,18-12-2025,,In Progress,Medium,T020,Completed,E21,445,54251,44950,0,-17.14438444,1,0.002247191,47,15,2,222.5
22,Technology,Bachelors,1,25,,1,0,0,80,P022,Research,20-12-2025,21-05-2026,23-06-2026,Delayed,Low,T018,Ongoing,E22,575,84272,99146,33,17.64999051,0,0,80,,1,575
23,Technology,Masters & above,1,30,1,3,0,0,83,P023,Infrastructure,20-11-2024,25-02-2025,,On Hold,High,T077,Blocked,E23,546,40756,46597,0,14.33163215,0,0,83,3,3,182
24,Procurement,Masters & above,1,41,3,4,0,0,76,P024,Healthcare Upgrade,26-06-2024,01-10-2024,25-10-2024,Delayed,Medium,T025,Completed,E24,328,45594,54226,24,18.93231566,1,0.00304878,76,12,2,164
25,Finance,Bachelors,1,29,4,6,1,0,58,P025,Research,06-08-2024,24-01-2025,,On Hold,High,T062,Blocked,E25,266,91277,94300,0,3.311896754,0,0,58,24,3,88.66666667
26,Operations,Bachelors,1,33,3,7,1,1,62,P026,Research,05-06-2025,20-10-2025,15-10-2025,Completed,Low,T083,Completed,E26,331,42225,36903,-5,-12.60390764,1,0.003021148,62,21,1,331
27,Sales & Marketing,Masters & above,1,34,4,6,1,0,50,P027,Healthcare Upgrade,04-05-2024,28-08-2024,25-08-2024,Completed,Medium,T087,Blocked,E27,120,67756,63299,-3,-6.578015231,0,0,50,24,2,60
28,Analytics,Bachelors,1,34,3,3,1,0,87,P028,AI System,13-07-2024,27-11-2024,26-11-2024,Completed,Low,T007,Pending,E28,357,109796,129720,-1,18.14638056,0,0,87,9,1,357
29,Operations,Bachelors,1,52,1,10,0,0,61,P029,Maintenance,03-09-2025,16-10-2025,,On Hold,High,T065,Ongoing,E29,541,68309,78706,0,15.22054195,0,0,61,10,3,180.3333333
30,Sales & Marketing,Bachelors,1,30,2,3,0,0,50,P030,IT Development,17-05-2024,19-07-2024,30-07-2024,Delayed,High,T063,Blocked,E30,108,59369,68630,11,15.59905001,0,0,50,6,3,36
31,Analytics,Masters & above,2,34,4,7,0,0,87,P031,Healthcare Upgrade,09-07-2025,01-12-2025,04-12-2025,Delayed,High,T085,Completed,E31,200,98144,111047,3,13.14700848,1,0.005,174,28,3,66.66666667
32,Sales & Marketing,Bachelors,2,43,1,14,0,0,52,P032,Research,19-07-2025,07-10-2025,21-10-2025,Delayed,Low,T053,Pending,E32,351,48242,55684,14,15.42639194,0,0,104,14,1,351
33,Technology,Bachelors,1,29,,1,1,0,85,P033,AI System,17-10-2024,17-12-2024,,On Hold,High,T019,Completed,E33,583,101637,96858,0,-4.702027805,1,0.001715266,85,,3,194.3333333
